Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,scouting_report
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,1987.0,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Scouting Report for Yunis Abdelhamid. Team: Saint-Étienne. Position: DF. Age: 36.0. Nation: ma MAR. Matches Played: 16. Minutes: 1033. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.2. Expected Assists (xAG): 0.1. Progressive Carries: 4. Progressive Passes: 22. 
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24.0,1999.0,32,32,2842,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.19,0.03,0.22,0.1,0.13,0.2,0.1,0.3,0.1,0.2,"Scouting Report for Himad Abdelli. Team: Angers. Position: MF,FW. Age: 24.0. Nation: dz ALG. Matches Played: 32. Minutes: 2842. Goals: 6. Assists: 1. Non-Penalty xG (npxG): 3.2. Expected Assists (xAG): 3.2. Progressive Carries: 107. Progressive Passes: 207. "
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,1999.0,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,52,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scouting Report for Mohamed Abdelmoneim. Team: Nice. Position: DF. Age: 25.0. Nation: eg EGY. Matches Played: 12. Minutes: 855. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.0. Progressive Carries: 6. Progressive Passes: 52. 
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,1993.0,25,17,1393,15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.4,0.28,0.4,"Scouting Report for Ali Abdi. Team: Nice. Position: DF,MF. Age: 30.0. Nation: tn TUN. Matches Played: 25. Minutes: 1393. Goals: 5. Assists: 2. Non-Penalty xG (npxG): 4.3. Expected Assists (xAG): 1.9. Progressive Carries: 35. Progressive Passes: 42. "
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999.0,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.0,0.44,0.44,0.0,0.44,0.01,0.08,0.09,0.01,0.09,Scouting Report for Saud Abdulhamid. Team: Roma. Position: DF. Age: 25.0. Nation: sa KSA. Matches Played: 4. Minutes: 205. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.2. Progressive Carries: 6. Progressive Passes: 9. 
11,Abel,es ESP,DF,Osasuna,es La Liga,23.0,2000.0,35,20,2074,23.0,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.6,50,77,92,0.09,0.0,0.09,0.09,0.09,0.02,0.05,0.07,0.02,0.07,Scouting Report for Abel. Team: Osasuna. Position: DF. Age: 23.0. Nation: es ESP. Matches Played: 35. Minutes: 2074. Goals: 2. Assists: 0. Non-Penalty xG (npxG): 0.5. Expected Assists (xAG): 1.0. Progressive Carries: 50. Progressive Passes: 77. 
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21.0,2002.0,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Scouting Report for Nabil Aberdin. Team: Getafe. Position: MF. Age: 21.0. Nation: fr FRA. Matches Played: 7. Minutes: 263. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.0. Progressive Carries: 2. Progressive Passes: 6. 
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003.0,34,33,2768,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.4,0.25,0.37,Scouting Report for Matthis Abline. Team: Nantes. Position: FW. Age: 21.0. Nation: fr FRA. Matches Played: 34. Minutes: 2768. Goals: 9. Assists: 2. Non-Penalty xG (npxG): 7.7. Expected Assists (xAG): 3.8. Progressive Carries: 75. Progressive Passes: 48. 
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,2000.0,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14,Scouting Report for Abner. Team: Lyon. Position: DF. Age: 24.0. Nation: br BRA. Matches Played: 19. Minutes: 1090. Goals: 1. Assists: 1. Non-Penalty xG (npxG): 0.6. Expected Assists (xAG): 1.1. Progressive Carries: 31. Progressive Passes: 66. 
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,2000.0,26,22,1901,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48,"Scouting Report for Zakaria Aboukhlal. Team: Toulouse. Position: MF,FW. Age: 24.0. Nation: ma MAR. Matches Played: 26. Minutes: 1901. Goals: 7. Assists: 2. Non-Penalty xG (npxG): 8.6. Expected Assists (xAG): 1.6. Progressive Carries: 34. Progressive Passes: 22. "
